store_id,date,horizon_day,forecast_p50,forecast_p80,forecast_p95,forecast_cv,campaign,is_weekend
DXB-03,2026-08-06,4,490.1,539.5,586.8,0.12,none,False
DXB-04,2026-08-06,4,364.6,401.3,436.5,0.12,none,False
AUH-01,2026-08-06,4,573.7,631.6,687.0,0.12,none,False
AUH-02,2026-08-06,4,418.4,460.5,500.9,0.12,none,False
AUH-03,2026-08-06,4,310.8,342.1,372.1,0.12,none,False
SHJ-01,2026-08-06,4,466.2,513.2,558.2,0.12,none,False
SHJ-02,2026-08-06,4,358.6,394.7,429.4,0.12,none,False
AAN-01,2026-08-06,4,227.1,250.0,271.9,0.12,none,False
RAK-01,2026-08-06,4,209.2,230.3,250.5,0.12,none,False
FUJ-01,2026-08-06,4,179.3,197.4,214.7,0.12,none,False
DXB-01,2026-08-07,5,875.1,963.4,1047.9,0.12,none,True
DXB-02,2026-08-07,5,762.2,839.1,912.7,0.12,none,True
DXB-03,2026-08-07,5,578.7,637.1,693.0,0.12,none,True
DXB-04,2026-08-07,5,430.5,473.9,515.5,0.12,none,True
AUH-01,2026-08-07,5,677.5,745.8,811.3,0.12,none,True
AUH-02,2026-08-07,5,494.0,543.8,591.6,0.12,none,True
AUH-03,2026-08-07,5,367.0,404.0,439.4,0.12,none,True
SHJ-01,2026-08-07,5,550.5,606.0,659.2,0.12,none,True
SHJ-02,2026-08-07,5,423.5,466.1,507.0,0.12,none,True
AAN-01,2026-08-07,5,268.2,295.2,321.1,0.12,none,True
RAK-01,2026-08-07,5,247.0,271.9,295.8,0.12,none,True
FUJ-01,2026-08-07,5,211.7,233.1,253.5,0.12,none,True
DXB-01,2026-08-08,6,875.8,964.1,1048.7,0.12,none,True
DXB-02,2026-08-08,6,762.8,839.7,913.4,0.12,none,True
DXB-03,2026-08-08,6,579.2,637.5,693.5,0.12,none,True
DXB-04,2026-08-08,6,430.8,474.3,515.9,0.12,none,True
AUH-01,2026-08-08,6,678.0,746.4,811.9,0.12,none,True
AUH-02,2026-08-08,6,494.4,544.2,592.0,0.12,none,True
AUH-03,2026-08-08,6,367.3,404.3,439.8,0.12,none,True
SHJ-01,2026-08-08,6,550.9,606.4,659.7,0.12,none,True
SHJ-02,2026-08-08,6,423.8,466.5,507.4,0.12,none,True
AAN-01,2026-08-08,6,268.4,295.4,321.4,0.12,none,True
RAK-01,2026-08-08,6,247.2,272.1,296.0,0.12,none,True
FUJ-01,2026-08-08,6,211.9,233.2,253.7,0.12,none,True
DXB-01,2026-08-09,7,742.8,827.0,907.7,0.135,none,False
DXB-02,2026-08-09,7,646.9,720.3,790.6,0.135,none,False
DXB-03,2026-08-09,7,491.2,546.9,600.3,0.135,none,False
DXB-04,2026-08-09,7,365.4,406.8,446.5,0.135,none,False
AUH-01,2026-08-09,7,575.0,640.2,702.7,0.135,none,False
AUH-02,2026-08-09,7,419.3,466.8,512.4,0.135,none,False
AUH-03,2026-08-09,7,311.5,346.8,380.7,0.135,none,False
SHJ-01,2026-08-09,7,467.2,520.2,571.0,0.135,none,False
SHJ-02,2026-08-09,7,359.4,400.2,439.2,0.135,none,False
AAN-01,2026-08-09,7,227.6,253.4,278.2,0.135,none,False
RAK-01,2026-08-09,7,209.7,233.4,256.2,0.135,none,False
FUJ-01,2026-08-09,7,179.7,200.1,219.6,0.135,none,False
DXB-01,2026-08-10,8,743.3,827.6,908.4,0.135,none,False
DXB-02,2026-08-10,8,647.4,720.8,791.2,0.135,none,False
DXB-03,2026-08-10,8,491.5,547.3,600.7,0.135,none,False
DXB-04,2026-08-10,8,365.7,407.1,446.9,0.135,none,False
AUH-01,2026-08-10,8,575.5,640.7,703.3,0.135,none,False
AUH-02,2026-08-10,8,419.6,467.2,512.8,0.135,none,False
AUH-03,2026-08-10,8,311.7,347.1,380.9,0.135,none,False
SHJ-01,2026-08-10,8,467.6,520.6,571.4,0.135,none,False
SHJ-02,2026-08-10,8,359.7,400.5,439.5,0.135,none,False
AAN-01,2026-08-10,8,227.8,253.6,278.4,0.135,none,False
RAK-01,2026-08-10,8,209.8,233.6,256.4,0.135,none,False
FUJ-01,2026-08-10,8,179.8,200.2,219.8,0.135,none,False
DXB-01,2026-08-11,9,743.9,828.2,909.1,0.135,none,False
DXB-02,2026-08-11,9,647.9,721.4,791.8,0.135,none,False
DXB-03,2026-08-11,9,491.9,547.7,601.2,0.135,none,False
DXB-04,2026-08-11,9,365.9,407.4,447.2,0.135,none,False
AUH-01,2026-08-11,9,575.9,641.2,703.8,0.135,none,False
AUH-02,2026-08-11,9,419.9,467.6,513.2,0.135,none,False
AUH-03,2026-08-11,9,311.9,347.3,381.2,0.135,none,False
SHJ-01,2026-08-11,9,467.9,521.0,571.8,0.135,none,False
SHJ-02,2026-08-11,9,359.9,400.8,439.9,0.135,none,False
AAN-01,2026-08-11,9,228.0,253.8,278.6,0.135,none,False
RAK-01,2026-08-11,9,210.0,233.8,256.6,0.135,none,False
FUJ-01,2026-08-11,9,180.0,200.4,219.9,0.135,none,False
DXB-01,2026-08-12,10,744.4,828.9,909.8,0.135,none,False
DXB-02,2026-08-12,10,648.4,721.9,792.4,0.135,none,False
DXB-03,2026-08-12,10,492.3,548.1,601.6,0.135,none,False
DXB-04,2026-08-12,10,366.2,407.7,447.5,0.135,none,False
AUH-01,2026-08-12,10,576.3,641.7,704.3,0.135,none,False
AUH-02,2026-08-12,10,420.2,467.9,513.6,0.135,none,False
AUH-03,2026-08-12,10,312.2,347.6,381.5,0.135,none,False
SHJ-01,2026-08-12,10,468.3,521.4,572.3,0.135,none,False
SHJ-02,2026-08-12,10,360.2,401.1,440.2,0.135,none,False
AAN-01,2026-08-12,10,228.1,254.0,278.8,0.135,none,False
RAK-01,2026-08-12,10,210.1,234.0,256.8,0.135,none,False
FUJ-01,2026-08-12,10,180.1,200.5,220.1,0.135,none,False
DXB-01,2026-08-13,11,745.0,829.5,910.4,0.135,none,False
DXB-02,2026-08-13,11,648.9,722.4,793.0,0.135,none,False
DXB-03,2026-08-13,11,492.7,548.5,602.1,0.135,none,False
DXB-04,2026-08-13,11,366.5,408.0,447.9,0.135,none,False
AUH-01,2026-08-13,11,576.8,642.2,704.9,0.135,none,False
AUH-02,2026-08-13,11,420.6,468.3,514.0,0.135,none,False
AUH-03,2026-08-13,11,312.4,347.8,381.8,0.135,none,False
SHJ-01,2026-08-13,11,468.6,521.8,572.7,0.135,none,False
SHJ-02,2026-08-13,11,360.5,401.4,440.5,0.135,none,False
AAN-01,2026-08-13,11,228.3,254.2,279.0,0.135,none,False
RAK-01,2026-08-13,11,210.3,234.1,257.0,0.135,none,False
FUJ-01,2026-08-13,11,180.2,200.7,220.3,0.135,none,False
DXB-01,2026-08-14,12,879.7,979.5,1075.1,0.135,none,True
DXB-02,2026-08-14,12,766.2,853.1,936.4,0.135,none,True
DXB-03,2026-08-14,12,581.8,647.7,711.0,0.135,none,True
DXB-04,2026-08-14,12,432.8,481.9,528.9,0.135,none,True
AUH-01,2026-08-14,12,681.1,758.3,832.4,0.135,none,True
AUH-02,2026-08-14,12,496.6,553.0,606.9,0.135,none,True
AUH-03,2026-08-14,12,368.9,410.8,450.9,0.135,none,True
SHJ-01,2026-08-14,12,553.4,616.1,676.3,0.135,none,True
SHJ-02,2026-08-14,12,425.7,474.0,520.2,0.135,none,True
AAN-01,2026-08-14,12,269.6,300.2,329.5,0.135,none,True
RAK-01,2026-08-14,12,248.3,276.5,303.5,0.135,none,True
FUJ-01,2026-08-14,12,212.8,237.0,260.1,0.135,none,True
DXB-01,2026-08-15,13,880.4,980.2,1075.9,0.135,none,True
DXB-02,2026-08-15,13,766.8,853.8,937.1,0.135,none,True
DXB-03,2026-08-15,13,582.2,648.2,711.5,0.135,none,True
DXB-04,2026-08-15,13,433.1,482.2,529.3,0.135,none,True
AUH-01,2026-08-15,13,681.6,758.9,833.0,0.135,none,True
AUH-02,2026-08-15,13,497.0,553.4,607.4,0.135,none,True
AUH-03,2026-08-15,13,369.2,411.1,451.2,0.135,none,True
SHJ-01,2026-08-15,13,553.8,616.6,676.8,0.135,none,True
SHJ-02,2026-08-15,13,426.0,474.3,520.6,0.135,none,True
AAN-01,2026-08-15,13,269.8,300.4,329.7,0.135,none,True
RAK-01,2026-08-15,13,248.5,276.7,303.7,0.135,none,True
FUJ-01,2026-08-15,13,213.0,237.2,260.3,0.135,none,True
DXB-01,2026-08-16,14,746.7,840.7,930.9,0.15,none,False
DXB-02,2026-08-16,14,650.3,732.3,810.8,0.15,none,False
DXB-03,2026-08-16,14,493.8,556.0,615.6,0.15,none,False
DXB-04,2026-08-16,14,367.3,413.6,457.9,0.15,none,False
AUH-01,2026-08-16,14,578.1,650.9,720.7,0.15,none,False
AUH-02,2026-08-16,14,421.5,474.6,525.5,0.15,none,False
AUH-03,2026-08-16,14,313.1,352.6,390.4,0.15,none,False
SHJ-01,2026-08-16,14,469.7,528.9,585.6,0.15,none,False
SHJ-02,2026-08-16,14,361.3,406.8,450.4,0.15,none,False
AAN-01,2026-08-16,14,228.8,257.6,285.3,0.15,none,False
RAK-01,2026-08-16,14,210.8,237.3,262.8,0.15,none,False
FUJ-01,2026-08-16,14,180.6,203.4,225.2,0.15,none,False
DXB-01,2026-08-17,15,747.2,841.4,931.6,0.15,none,False
DXB-02,2026-08-17,15,650.8,732.8,811.4,0.15,none,False
DXB-03,2026-08-17,15,494.1,556.4,616.1,0.15,none,False
DXB-04,2026-08-17,15,367.6,413.9,458.3,0.15,none,False
AUH-01,2026-08-17,15,578.5,651.4,721.2,0.15,none,False
AUH-02,2026-08-17,15,421.8,475.0,525.9,0.15,none,False
AUH-03,2026-08-17,15,313.4,352.8,390.7,0.15,none,False
SHJ-01,2026-08-17,15,470.0,529.3,586.0,0.15,none,False
SHJ-02,2026-08-17,15,361.6,407.1,450.8,0.15,none,False
AAN-01,2026-08-17,15,229.0,257.8,285.5,0.15,none,False
RAK-01,2026-08-17,15,210.9,237.5,263.0,0.15,none,False
FUJ-01,2026-08-17,15,180.8,203.6,225.4,0.15,none,False
DXB-01,2026-08-18,16,747.8,842.0,932.3,0.15,none,False
DXB-02,2026-08-18,16,651.3,733.4,812.0,0.15,none,False
DXB-03,2026-08-18,16,494.5,556.8,616.5,0.15,none,False
DXB-04,2026-08-18,16,367.9,414.2,458.6,0.15,none,False
AUH-01,2026-08-18,16,578.9,651.9,721.8,0.15,none,False
AUH-02,2026-08-18,16,422.1,475.3,526.3,0.15,none,False
AUH-03,2026-08-18,16,313.6,353.1,391.0,0.15,none,False
SHJ-01,2026-08-18,16,470.4,529.6,586.4,0.15,none,False
SHJ-02,2026-08-18,16,361.8,407.4,451.1,0.15,none,False
AAN-01,2026-08-18,16,229.2,258.0,285.7,0.15,none,False
RAK-01,2026-08-18,16,211.1,237.7,263.1,0.15,none,False
FUJ-01,2026-08-18,16,180.9,203.7,225.6,0.15,none,False
DXB-01,2026-08-19,17,748.3,842.6,933.0,0.15,none,False
DXB-02,2026-08-19,17,651.8,733.9,812.6,0.15,none,False
DXB-03,2026-08-19,17,494.9,557.2,617.0,0.15,none,False
DXB-04,2026-08-19,17,368.1,414.5,459.0,0.15,none,False
AUH-01,2026-08-19,17,579.4,652.4,722.3,0.15,none,False
AUH-02,2026-08-19,17,422.5,475.7,526.7,0.15,none,False
AUH-03,2026-08-19,17,313.8,353.4,391.3,0.15,none,False
SHJ-01,2026-08-19,17,470.7,530.0,586.9,0.15,none,False
SHJ-02,2026-08-19,17,362.1,407.7,451.4,0.15,none,False
AAN-01,2026-08-19,17,229.3,258.2,285.9,0.15,none,False
RAK-01,2026-08-19,17,211.2,237.8,263.3,0.15,none,False
FUJ-01,2026-08-19,17,181.1,203.9,225.7,0.15,none,False
DXB-01,2026-08-20,18,748.9,843.3,933.7,0.15,none,False
DXB-02,2026-08-20,18,652.3,734.5,813.2,0.15,none,False
DXB-03,2026-08-20,18,495.2,557.6,617.4,0.15,none,False
DXB-04,2026-08-20,18,368.4,414.8,459.3,0.15,none,False
AUH-01,2026-08-20,18,579.8,652.8,722.9,0.15,none,False
AUH-02,2026-08-20,18,422.8,476.0,527.1,0.15,none,False
AUH-03,2026-08-20,18,314.1,353.6,391.5,0.15,none,False
SHJ-01,2026-08-20,18,471.1,530.4,587.3,0.15,none,False
SHJ-02,2026-08-20,18,362.4,408.0,451.8,0.15,none,False
AAN-01,2026-08-20,18,229.5,258.4,286.1,0.15,none,False
RAK-01,2026-08-20,18,211.4,238.0,263.5,0.15,none,False
FUJ-01,2026-08-20,18,181.2,204.0,225.9,0.15,none,False
DXB-01,2026-08-21,19,884.4,995.8,1102.6,0.15,none,True
DXB-02,2026-08-21,19,770.2,867.3,960.3,0.15,none,True
DXB-03,2026-08-21,19,584.8,658.5,729.1,0.15,none,True
DXB-04,2026-08-21,19,435.0,489.9,542.4,0.15,none,True
AUH-01,2026-08-21,19,684.7,770.9,853.6,0.15,none,True
AUH-02,2026-08-21,19,499.2,562.1,622.4,0.15,none,True
AUH-03,2026-08-21,19,370.9,417.6,462.4,0.15,none,True
SHJ-01,2026-08-21,19,556.3,626.4,693.6,0.15,none,True
SHJ-02,2026-08-21,19,427.9,481.8,533.5,0.15,none,True
AAN-01,2026-08-21,19,271.0,305.2,337.9,0.15,none,True
RAK-01,2026-08-21,19,249.6,281.1,311.2,0.15,none,True
FUJ-01,2026-08-21,19,214.0,240.9,266.8,0.15,none,True
DXB-01,2026-08-22,20,885.0,996.5,1103.4,0.15,none,True
DXB-02,2026-08-22,20,770.8,867.9,961.0,0.15,none,True
DXB-03,2026-08-22,20,585.3,659.0,729.7,0.15,none,True
DXB-04,2026-08-22,20,435.4,490.2,542.8,0.15,none,True
AUH-01,2026-08-22,20,685.2,771.5,854.2,0.15,none,True
AUH-02,2026-08-22,20,499.6,562.6,622.9,0.15,none,True
AUH-03,2026-08-22,20,371.1,417.9,462.7,0.15,none,True
SHJ-01,2026-08-22,20,556.7,626.8,694.1,0.15,none,True
SHJ-02,2026-08-22,20,428.2,482.2,533.9,0.15,none,True
AAN-01,2026-08-22,20,271.2,305.4,338.1,0.15,none,True
RAK-01,2026-08-22,20,249.8,281.3,311.4,0.15,none,True
FUJ-01,2026-08-22,20,214.1,241.1,267.0,0.15,none,True
DXB-01,2026-08-23,21,750.6,854.6,954.3,0.165,none,False
DXB-02,2026-08-23,21,653.7,744.3,831.2,0.165,none,False
DXB-03,2026-08-23,21,496.3,565.1,631.1,0.165,none,False
DXB-04,2026-08-23,21,369.2,420.4,469.5,0.165,none,False
AUH-01,2026-08-23,21,581.1,661.6,738.8,0.165,none,False
AUH-02,2026-08-23,21,423.7,482.4,538.7,0.165,none,False
AUH-03,2026-08-23,21,314.8,358.4,400.2,0.165,none,False
SHJ-01,2026-08-23,21,472.1,537.6,600.3,0.165,none,False
SHJ-02,2026-08-23,21,363.2,413.5,461.8,0.165,none,False
AAN-01,2026-08-23,21,230.0,261.9,292.4,0.165,none,False
RAK-01,2026-08-23,21,211.9,241.2,269.4,0.165,none,False
FUJ-01,2026-08-23,21,181.6,206.8,230.9,0.165,none,False
DXB-01,2026-08-24,22,751.1,855.2,955.0,0.165,none,False
DXB-02,2026-08-24,22,654.2,744.9,831.8,0.165,none,False
DXB-03,2026-08-24,22,496.7,565.6,631.5,0.165,none,False
DXB-04,2026-08-24,22,369.5,420.7,469.8,0.165,none,False
AUH-01,2026-08-24,22,581.5,662.1,739.4,0.165,none,False
AUH-02,2026-08-24,22,424.0,482.8,539.1,0.165,none,False
AUH-03,2026-08-24,22,315.0,358.6,400.5,0.165,none,False
SHJ-01,2026-08-24,22,472.5,538.0,600.7,0.165,none,False
SHJ-02,2026-08-24,22,363.4,413.8,462.1,0.165,none,False
AAN-01,2026-08-24,22,230.2,262.1,292.7,0.165,none,False
RAK-01,2026-08-24,22,212.0,241.4,269.6,0.165,none,False
FUJ-01,2026-08-24,22,181.7,206.9,231.0,0.165,none,False
DXB-01,2026-08-25,23,751.7,855.9,955.7,0.165,none,False
DXB-02,2026-08-25,23,654.7,745.4,832.4,0.165,none,False
DXB-03,2026-08-25,23,497.1,566.0,632.0,0.165,none,False
DXB-04,2026-08-25,23,369.8,421.0,470.2,0.165,none,False
AUH-01,2026-08-25,23,582.0,662.6,739.9,0.165,none,False
AUH-02,2026-08-25,23,424.3,483.2,539.5,0.165,none,False
AUH-03,2026-08-25,23,315.2,358.9,400.8,0.165,none,False
SHJ-01,2026-08-25,23,472.8,538.4,601.2,0.165,none,False
SHJ-02,2026-08-25,23,363.7,414.1,462.4,0.165,none,False
AAN-01,2026-08-25,23,230.4,262.3,292.9,0.165,none,False
RAK-01,2026-08-25,23,212.2,241.6,269.8,0.165,none,False
FUJ-01,2026-08-25,23,181.9,207.1,231.2,0.165,none,False
DXB-01,2026-08-26,24,752.2,856.5,956.4,0.165,none,False
DXB-02,2026-08-26,24,655.2,746.0,833.0,0.165,none,False
DXB-03,2026-08-26,24,497.5,566.4,632.5,0.165,none,False
DXB-04,2026-08-26,24,370.1,421.3,470.5,0.165,none,False
AUH-01,2026-08-26,24,582.4,663.1,740.5,0.165,none,False
AUH-02,2026-08-26,24,424.7,483.5,539.9,0.165,none,False
AUH-03,2026-08-26,24,315.5,359.2,401.1,0.165,none,False
SHJ-01,2026-08-26,24,473.2,538.8,601.6,0.165,none,False
SHJ-02,2026-08-26,24,364.0,414.4,462.8,0.165,none,False
AAN-01,2026-08-26,24,230.5,262.5,293.1,0.165,none,False
RAK-01,2026-08-26,24,212.3,241.8,270.0,0.165,none,False
FUJ-01,2026-08-26,24,182.0,207.2,231.4,0.165,none,False
DXB-01,2026-08-27,25,752.8,857.1,957.1,0.165,none,False
DXB-02,2026-08-27,25,655.7,746.5,833.6,0.165,none,False
DXB-03,2026-08-27,25,497.8,566.8,632.9,0.165,none,False
DXB-04,2026-08-27,25,370.3,421.7,470.8,0.165,none,False
AUH-01,2026-08-27,25,582.8,663.6,741.0,0.165,none,False
AUH-02,2026-08-27,25,425.0,483.9,540.3,0.165,none,False
AUH-03,2026-08-27,25,315.7,359.4,401.4,0.165,none,False
SHJ-01,2026-08-27,25,473.5,539.2,602.1,0.165,none,False
SHJ-02,2026-08-27,25,364.3,414.7,463.1,0.165,none,False
AAN-01,2026-08-27,25,230.7,262.7,293.3,0.165,none,False
RAK-01,2026-08-27,25,212.5,241.9,270.2,0.165,none,False
FUJ-01,2026-08-27,25,182.1,207.4,231.6,0.165,none,False
DXB-01,2026-08-28,26,889.0,1012.2,1130.3,0.165,none,True
DXB-02,2026-08-28,26,774.3,881.6,984.4,0.165,none,True
DXB-03,2026-08-28,26,587.9,669.3,747.4,0.165,none,True
DXB-04,2026-08-28,26,437.3,497.9,556.0,0.165,none,True
AUH-01,2026-08-28,26,688.2,783.6,875.0,0.165,none,True
AUH-02,2026-08-28,26,501.8,571.4,638.0,0.165,none,True
AUH-03,2026-08-28,26,372.8,424.5,474.0,0.165,none,True
SHJ-01,2026-08-28,26,559.2,636.7,711.0,0.165,none,True
SHJ-02,2026-08-28,26,430.1,489.8,546.9,0.165,none,True
AAN-01,2026-08-28,26,272.4,310.2,346.4,0.165,none,True
RAK-01,2026-08-28,26,250.9,285.7,319.0,0.165,none,True
FUJ-01,2026-08-28,26,215.1,244.9,273.4,0.165,none,True
DXB-01,2026-08-29,27,889.6,1012.9,1131.1,0.165,none,True
DXB-02,2026-08-29,27,774.8,882.2,985.1,0.165,none,True
DXB-03,2026-08-29,27,588.3,669.8,748.0,0.165,none,True
DXB-04,2026-08-29,27,437.6,498.3,556.4,0.165,none,True
AUH-01,2026-08-29,27,688.7,784.2,875.7,0.165,none,True
AUH-02,2026-08-29,27,502.2,571.8,638.5,0.165,none,True
AUH-03,2026-08-29,27,373.1,424.8,474.3,0.165,none,True
SHJ-01,2026-08-29,27,559.6,637.2,711.5,0.165,none,True
SHJ-02,2026-08-29,27,430.5,490.1,547.3,0.165,none,True
AAN-01,2026-08-29,27,272.6,310.4,346.6,0.165,none,True
RAK-01,2026-08-29,27,251.1,285.9,319.3,0.165,none,True
FUJ-01,2026-08-29,27,215.2,245.1,273.7,0.165,none,True
DXB-01,2026-08-30,28,754.5,868.6,977.9,0.18,none,False
DXB-02,2026-08-30,28,657.1,756.5,851.7,0.18,none,False
DXB-03,2026-08-30,28,498.9,574.4,646.7,0.18,none,False
DXB-04,2026-08-30,28,371.2,427.3,481.1,0.18,none,False
AUH-01,2026-08-30,28,584.1,672.4,757.1,0.18,none,False
AUH-02,2026-08-30,28,425.9,490.3,552.0,0.18,none,False
AUH-03,2026-08-30,28,316.4,364.2,410.1,0.18,none,False
SHJ-01,2026-08-30,28,474.6,546.3,615.1,0.18,none,False
SHJ-02,2026-08-30,28,365.1,420.3,473.2,0.18,none,False
AAN-01,2026-08-30,28,231.2,266.2,299.7,0.18,none,False
RAK-01,2026-08-30,28,213.0,245.2,276.0,0.18,none,False
FUJ-01,2026-08-30,28,182.5,210.1,236.6,0.18,none,False
DXB-01,2026-08-31,29,755.0,869.2,978.6,0.18,none,False
DXB-02,2026-08-31,29,657.6,757.0,852.3,0.18,none,False
DXB-03,2026-08-31,29,499.3,574.8,647.1,0.18,none,False
DXB-04,2026-08-31,29,371.4,427.6,481.4,0.18,none,False
AUH-01,2026-08-31,29,584.5,672.9,757.6,0.18,none,False
AUH-02,2026-08-31,29,426.2,490.7,552.4,0.18,none,False
AUH-03,2026-08-31,29,316.6,364.5,410.4,0.18,none,False
SHJ-01,2026-08-31,29,474.9,546.8,615.6,0.18,none,False
SHJ-02,2026-08-31,29,365.3,420.6,473.5,0.18,none,False
AAN-01,2026-08-31,29,231.4,266.4,299.9,0.18,none,False
RAK-01,2026-08-31,29,213.1,245.3,276.2,0.18,none,False
FUJ-01,2026-08-31,29,182.7,210.3,236.8,0.18,none,False
DXB-01,2026-09-01,30,755.6,869.8,979.3,0.18,none,False
DXB-02,2026-09-01,30,658.1,757.6,853.0,0.18,none,False
DXB-03,2026-09-01,30,499.7,575.2,647.6,0.18,none,False
DXB-04,2026-09-01,30,371.7,427.9,481.8,0.18,none,False
AUH-01,2026-09-01,30,585.0,673.4,758.2,0.18,none,False
AUH-02,2026-09-01,30,426.5,491.0,552.8,0.18,none,False
AUH-03,2026-09-01,30,316.9,364.8,410.7,0.18,none,False
SHJ-01,2026-09-01,30,475.3,547.2,616.0,0.18,none,False
SHJ-02,2026-09-01,30,365.6,420.9,473.9,0.18,none,False
AAN-01,2026-09-01,30,231.6,266.6,300.1,0.18,none,False
RAK-01,2026-09-01,30,213.3,245.5,276.4,0.18,none,False
FUJ-01,2026-09-01,30,182.8,210.4,236.9,0.18,none,False
DXB-01,2026-09-02,31,756.2,870.5,980.0,0.18,none,False
DXB-02,2026-09-02,31,658.6,758.2,853.6,0.18,none,False
DXB-03,2026-09-02,31,500.0,575.6,648.1,0.18,none,False
DXB-04,2026-09-02,31,372.0,428.2,482.1,0.18,none,False
AUH-01,2026-09-02,31,585.4,673.9,758.7,0.18,none,False
AUH-02,2026-09-02,31,426.9,491.4,553.3,0.18,none,False
AUH-03,2026-09-02,31,317.1,365.0,411.0,0.18,none,False
SHJ-01,2026-09-02,31,475.6,547.6,616.5,0.18,none,False
SHJ-02,2026-09-02,31,365.9,421.2,474.2,0.18,none,False
AAN-01,2026-09-02,31,231.7,266.8,300.3,0.18,none,False
RAK-01,2026-09-02,31,213.4,245.7,276.6,0.18,none,False
FUJ-01,2026-09-02,31,182.9,210.6,237.1,0.18,none,False
DXB-01,2026-09-03,32,756.7,871.1,980.8,0.18,none,False
DXB-02,2026-09-03,32,659.1,758.7,854.2,0.18,none,False
DXB-03,2026-09-03,32,500.4,576.1,648.6,0.18,none,False
DXB-04,2026-09-03,32,372.3,428.5,482.5,0.18,none,False
AUH-01,2026-09-03,32,585.8,674.4,759.3,0.18,none,False
AUH-02,2026-09-03,32,427.2,491.8,553.7,0.18,none,False
AUH-03,2026-09-03,32,317.3,365.3,411.3,0.18,none,False
SHJ-01,2026-09-03,32,476.0,548.0,616.9,0.18,none,False
SHJ-02,2026-09-03,32,366.1,421.5,474.6,0.18,none,False
AAN-01,2026-09-03,32,231.9,267.0,300.6,0.18,none,False
